fetchTimestamp,ticker,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,open,dayHigh,dayLow,volume,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
2026-05-08T10:56:47.010886,RELIANCE.NS,Reliance Industries Limited,Oil & Gas Refining & Marketing,Energy,NSE,https://www.ril.com,Mumbai,19318957932544,1778218007,1427.6,1426.0,1433.0,1417.5,2710621,1436.2,-8.599976,-0.5988007,1290.0,1611.8,1378.184,1432.018,18576757,13532472634,0.51048,0.27999002,2434079916032,3979999969280,10572189925376,0.09139,0.0764,667.995,2.1371417,23.892887,19.862438,59.75,0.38,0.0921,2:1,1730073600.0,0.244
2026-05-08T10:56:47.010886,HDFCBANK.NS,HDFC Bank Limited,Banks - Regional,Financial Services,NSE,https://www.hdfc.bank.in,Mumbai,12042303963136,1778218009,782.2,784.0,788.75,782.1,11006822,796.05,-13.849976,-1.7398374,726.65,1020.5,800.912,927.8245,44292463,15395428340,0.00166,0.56909,3119260631040,5884845490176,2833153523712,0.13818,0.26834,367.242,2.1299307,17.45203,12.431053,44.82,1.63,0.2176,2:1,1756166400.0,0.481
2026-05-08T10:56:47.010886,BAJFINANCE.NS,Bajaj Finance Limited,Credit Services,Financial Services,NSE,https://www.aboutbajajfinserv.com/finance-about-us,Pune,5956104093696,1778218009,957.9,971.0,971.95,956.0,1839543,972.75,-14.849976,-1.5266759,787.9,1102.5,901.027,963.4592,9521452,6217876336,0.56262,0.24660999,181471805440,3666413092864,438345793536,0.17907,0.43383998,183.372,5.223808,31.365423,19.390858,30.54,0.56,0.1442,2:1,1750032000.0,0.407
2026-05-08T10:56:47.010886,BHARTIARTL.NS,Bharti Airtel Limited,Telecom Services,Communication Services,NSE,https://www.airtel.in,New Delhi,11138256338944,1778218009,1828.5,1820.0,1831.0,1815.2,1269117,1826.6,1.9000244,0.10403112,1746.9,2174.5,1838.486,1962.601,9297411,6090538098,0.48026,0.32561,276804009984,1979059011584,2034658050048,0.23125,0.14937,204.916,8.923168,36.136364,27.614336,50.6,0.88,0.31620002,2:1,1248393600.0,0.043
2026-05-08T10:56:47.010886,ICICIBANK.NS,ICICI Bank Limited,Banks - Regional,Financial Services,NSE,https://www.icici.bank.in,Mumbai,9077704884224,1778218010,1266.5,1279.6,1279.6,1265.5,2403316,1279.0,-12.5,-0.97732604,1187.6,1500.0,1292.238,1363.6935,17912291,7167552652,0.0301,0.56515,2649807126528,2202642677760,2174509514752,0.16359,0.24929,506.986,2.4980967,16.927292,13.969719,74.82,0.86,0.1471,11:10,1497916800.0,0.28
2026-05-08T10:56:47.010886,AXISBANK.NS,Axis Bank Limited,Banks - Regional,Financial Services,NSE,https://www.axis.bank.in,Mumbai,3952115712000,1778218008,1271.2,1280.0,1282.0,1270.0,1463150,1292.7,-21.5,-1.6631856,1042.5,1418.3,1283.018,1235.232,7246996,3108964572,0.02631,0.69857,786273730560,2805106212864,745198780416,0.13152,0.35406,692.118,1.836681,15.036668,10.009448,84.54,0.08,0.0117999995,5:1,1406505600.0,0.45
2026-05-08T10:56:47.010886,ETERNAL.NS,Eternal Limited,Internet Retail,Consumer Cyclical,NSE,https://www.eternal.com,Gurugram,2345361735680,1778218011,255.1,255.81,256.14,252.6,8419310,257.42,-2.3200073,-0.9012537,212.6,368.45,243.3736,289.64664,51540344,9193892179,0.27196,0.51197,66140000256,45920002048,543639994368,0.01194,0.0067299996,33.193,7.685355,654.1026,62.503372,0.39,,0.0,,,0.276
2026-05-08T10:56:47.010886,SBIN.NS,State Bank of India,Banks - Regional,Financial Services,NSE,https://sbi.bank.in,Mumbai,10037374222336,1778218011,1087.4,1090.0,1093.9,1082.9,2493107,1092.0,-4.5999756,-0.42116606,755.5,1234.7,1077.345,982.2255,17527710,9230617586,0.5692,0.29528,3133929684992,6853875990528,3700534018048,,0.22498,641.361,1.695457,11.8401575,11.813072,91.84,1.46,0.1731,10:1,1416441600.0,0.471
2026-05-08T10:56:47.010886,INFY.NS,Infosys Limited,Information Technology Services,Technology,NSE,https://www.infosys.com,Bengaluru,4748759007232,1778218010,1173.4,1161.0,1175.0,1158.8,2425501,1162.7,10.700073,0.92051566,1149.8,1728.0,1262.014,1458.983,14372314,4047007852,0.16068001,0.48839,3705999872,967000000,20157999104,0.31439,0.16434999,213.1117,5.506033,15.431352,14.330347,76.04,4.3,0.6465,2:1,1536019200.0,0.127
2026-05-08T10:56:47.010886,BAJAJ-AUTO.NS,Bajaj Auto Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.bajajauto.com,Pune,2994491359232,1778218011,10722.5,10625.0,10730.5,10540.0,130723,10605.0,117.5,1.1077068,7612.0,10740.0,9461.51,9188.535,376092,279271733,0.59966,0.1576,108835495936,226398502912,650872225792,0.28046,0.16507,1223.784,8.761758,27.93045,22.765392,383.9,1.41,0.5463,2:1,1283904000.0,0.706
